run_accession	sample_accession	sample_alias	study_title	experiment_accession	study_accession	tax_id	scientific_name	base_count	fastq_ftp	fastq_md5	submitted_ftp	submitted_md5
ERR9539070	SAMEA13076392	IMED.Italy.Tarquinia_Monterozzi.R10337	Mobility in the Iron Age Central Mediterranean	ERX9079880	PRJEB49419	9606	Homo sapiens	2787861757	ftp.sra.ebi.ac.uk/vol1/fastq/ERR953/000/ERR9539070/ERR9539070.fastq.gz	20077f6cf36292f3930d33e8f8895b4f	ftp.sra.ebi.ac.uk/vol1/run/ERR953/ERR9539070/10337.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR953/ERR9539070/10337.bam.bai	d15e77dcfe81828813d0d79517fcf08f;cc79fadec49adbb18c18123c71ca9a95
ERR9539071	SAMEA13076393	IMED.Italy.Tarquinia_Monterozzi.R10338	Mobility in the Iron Age Central Mediterranean	ERX9079881	PRJEB49419	9606	Homo sapiens	2966638905	ftp.sra.ebi.ac.uk/vol1/fastq/ERR953/001/ERR9539071/ERR9539071.fastq.gz	751b29045ca9e6763be0195a98543aa5	ftp.sra.ebi.ac.uk/vol1/run/ERR953/ERR9539071/10338.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR953/ERR9539071/10338.bam.bai	5f1f76b210989e36fa1d564a462a6ae3;9c64afcbaf0417c085885a656ebbfaa5
ERR9539072	SAMEA13076394	IMED.Italy.Tarquinia_Monterozzi.R10339	Mobility in the Iron Age Central Mediterranean	ERX9079882	PRJEB49419	9606	Homo sapiens	1588178842	ftp.sra.ebi.ac.uk/vol1/fastq/ERR953/002/ERR9539072/ERR9539072.fastq.gz	64d543f46d5b552ac062de366b78d916	ftp.sra.ebi.ac.uk/vol1/run/ERR953/ERR9539072/10339.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR953/ERR9539072/10339.bam.bai	b3bba142f7978735c9cc812bcd2860a9;6a17b2334b66fef793afa2706ca49229
ERR9539073	SAMEA13076395	IMED.Italy.Tarquinia_Monterozzi.R10340	Mobility in the Iron Age Central Mediterranean	ERX9079883	PRJEB49419	9606	Homo sapiens	2684212516	ftp.sra.ebi.ac.uk/vol1/fastq/ERR953/003/ERR9539073/ERR9539073.fastq.gz	c1eef4192144a0e2c4b9c15cdcc156e1	ftp.sra.ebi.ac.uk/vol1/run/ERR953/ERR9539073/10340.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR953/ERR9539073/10340.bam.bai	186a33b9a376aba16d85411d2c387dea;6558490db76b89781038bfa05d05f19d
ERR9539074	SAMEA13076396	IMED.Italy.Tarquinia_Monterozzi.R10341	Mobility in the Iron Age Central Mediterranean	ERX9079884	PRJEB49419	9606	Homo sapiens	2620848637	ftp.sra.ebi.ac.uk/vol1/fastq/ERR953/004/ERR9539074/ERR9539074.fastq.gz	0fe7006f09ce7677e58624c40e18cf89	ftp.sra.ebi.ac.uk/vol1/run/ERR953/ERR9539074/10341.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR953/ERR9539074/10341.bam.bai	3f875ca55677103e4ba3a63ff77c7f6f;6152241e6368987cbc7d04370b320f60
ERR9539075	SAMEA13076397	IMED.Italy.Tarquinia_Monterozzi.R10342	Mobility in the Iron Age Central Mediterranean	ERX9079885	PRJEB49419	9606	Homo sapiens	3198182195	ftp.sra.ebi.ac.uk/vol1/fastq/ERR953/005/ERR9539075/ERR9539075.fastq.gz	611ac35e5e8909d2850536f776187075	ftp.sra.ebi.ac.uk/vol1/run/ERR953/ERR9539075/10342.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR953/ERR9539075/10342.bam.bai	91b03af7f9503fcac7ab452223eb7e4f;064d38f814a6ee5b0c0bb0d4c14c69d9
ERR9539076	SAMEA13076398	IMED.Italy.Tarquinia_Monterozzi.R10343	Mobility in the Iron Age Central Mediterranean	ERX9079886	PRJEB49419	9606	Homo sapiens	3087043742	ftp.sra.ebi.ac.uk/vol1/fastq/ERR953/006/ERR9539076/ERR9539076.fastq.gz	d3584f6a12b4258965b903ed57270252	ftp.sra.ebi.ac.uk/vol1/run/ERR953/ERR9539076/10343.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR953/ERR9539076/10343.bam.bai	b4582fde2cf0fe158bfa8a23ed77f05c;4ed210aa07327b14584ac48db9f17dff
ERR9539077	SAMEA13076399	IMED.Italy.Tarquinia_Monterozzi.R10344	Mobility in the Iron Age Central Mediterranean	ERX9079887	PRJEB49419	9606	Homo sapiens	1495892175	ftp.sra.ebi.ac.uk/vol1/fastq/ERR953/007/ERR9539077/ERR9539077.fastq.gz	8c87ded1ddf2afe97a47376bc3556d61	ftp.sra.ebi.ac.uk/vol1/run/ERR953/ERR9539077/10344.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR953/ERR9539077/10344.bam.bai	8139104a9120f071d6aae2b06a126c33;e9ff456b042017931bc99cdefee16c43
ERR9539078	SAMEA13076400	IMED.Italy.Tarquinia_Monterozzi.R10359	Mobility in the Iron Age Central Mediterranean	ERX9079888	PRJEB49419	9606	Homo sapiens	3370476583	ftp.sra.ebi.ac.uk/vol1/fastq/ERR953/008/ERR9539078/ERR9539078.fastq.gz	daa54c365612d401581591d53976a55e	ftp.sra.ebi.ac.uk/vol1/run/ERR953/ERR9539078/10359.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR953/ERR9539078/10359.bam.bai	48f3b09589d17730f068c61f0d1141a0;1e2bb7abc73c6b06c527037f58ec8f9a
ERR9539079	SAMEA13076401	IMED.Italy.Tarquinia_Monterozzi.R10361	Mobility in the Iron Age Central Mediterranean	ERX9079889	PRJEB49419	9606	Homo sapiens	4487518856	ftp.sra.ebi.ac.uk/vol1/fastq/ERR953/009/ERR9539079/ERR9539079.fastq.gz	6ae3302d0a5bbde6d83ad9b0bec098d1	ftp.sra.ebi.ac.uk/vol1/run/ERR953/ERR9539079/10361.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR953/ERR9539079/10361.bam.bai	2567c1c6f5654c449cdfc3e5f0420390;42b370206923430a9961e37e52d1ad57
ERR9539080	SAMEA13076402	IMED.Italy.Tarquinia_Monterozzi.R10363	Mobility in the Iron Age Central Mediterranean	ERX9079890	PRJEB49419	9606	Homo sapiens	2837385234	ftp.sra.ebi.ac.uk/vol1/fastq/ERR953/000/ERR9539080/ERR9539080.fastq.gz	367bc828e7d931bf4d997058ed79b8f6	ftp.sra.ebi.ac.uk/vol1/run/ERR953/ERR9539080/10363.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR953/ERR9539080/10363.bam.bai	a3a59a05e6ad10d7bf45235208d76359;2defdb3acf252c0ba062f56e12dae10c
ERR9539081	SAMEA13076388	IMED.Italy.Pian_Sultano.R11102	Mobility in the Iron Age Central Mediterranean	ERX9079891	PRJEB49419	9606	Homo sapiens	1879333563	ftp.sra.ebi.ac.uk/vol1/fastq/ERR953/001/ERR9539081/ERR9539081.fastq.gz	7396d110cb694b42683198fbc3cde058	ftp.sra.ebi.ac.uk/vol1/run/ERR953/ERR9539081/11102.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR953/ERR9539081/11102.bam.bai	5b3cca4f4a0a827bba5763092918aae6;3d9dd15cce8f6f74aed152bc54b90ae6
ERR9539082	SAMEA13076389	IMED.Italy.Pian_Sultano.R11104	Mobility in the Iron Age Central Mediterranean	ERX9079892	PRJEB49419	9606	Homo sapiens	3077801119	ftp.sra.ebi.ac.uk/vol1/fastq/ERR953/002/ERR9539082/ERR9539082.fastq.gz	daf02796135fbe7fa6437ec325c15731	ftp.sra.ebi.ac.uk/vol1/run/ERR953/ERR9539082/11104.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR953/ERR9539082/11104.bam.bai	4b8a96e3293f20f51e8d5fc62c58b7a7;f5c3fdf90631212548a4f1a02353aad4
ERR9539083	SAMEA13076390	IMED.Italy.Pian_Sultano.R11105	Mobility in the Iron Age Central Mediterranean	ERX9079893	PRJEB49419	9606	Homo sapiens	3128286456	ftp.sra.ebi.ac.uk/vol1/fastq/ERR953/003/ERR9539083/ERR9539083.fastq.gz	2289e0ee700c7b947f5343c347c0227c	ftp.sra.ebi.ac.uk/vol1/run/ERR953/ERR9539083/11105.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR953/ERR9539083/11105.bam.bai	8fe004c0043c22d17b96ddccdd7c9506;b108211e8ea53e7e0d33a55c221cd718
ERR9539084	SAMEA13076391	IMED.Italy.Pian_Sultano.R11107	Mobility in the Iron Age Central Mediterranean	ERX9079894	PRJEB49419	9606	Homo sapiens	1780620643	ftp.sra.ebi.ac.uk/vol1/fastq/ERR953/004/ERR9539084/ERR9539084.fastq.gz	ff7a1ea1ff43e081405f6688d7ec9274	ftp.sra.ebi.ac.uk/vol1/run/ERR953/ERR9539084/11107.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR953/ERR9539084/11107.bam.bai	d2d2b1996c47a17428187822194cba49;202a407704e6288d8fbffe663056c572
ERR9539085	SAMEA13076406	IMED.Tunisia.Kerkouene.R11746	Mobility in the Iron Age Central Mediterranean	ERX9079895	PRJEB49419	9606	Homo sapiens	3262028350	ftp.sra.ebi.ac.uk/vol1/fastq/ERR953/005/ERR9539085/ERR9539085.fastq.gz	94a0177d5a54e53b293388cecc6290b3	ftp.sra.ebi.ac.uk/vol1/run/ERR953/ERR9539085/11746.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR953/ERR9539085/11746.bam.bai	d535b57adea459db8db0ed1c3ab1f060;c7eb466c03c9e904ef42ad77113cdfbd
ERR9539086	SAMEA13076403	IMED.Tunisia.Kerkouene.R11749	Mobility in the Iron Age Central Mediterranean	ERX9079896	PRJEB49419	9606	Homo sapiens	2424930709	ftp.sra.ebi.ac.uk/vol1/fastq/ERR953/006/ERR9539086/ERR9539086.fastq.gz	53bb7390d75394ce877211b4c6d85ba8	ftp.sra.ebi.ac.uk/vol1/run/ERR953/ERR9539086/11749.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR953/ERR9539086/11749.bam.bai	e7a1e28da2f9e4b12f7c627c79b6a82e;69249653ed3a0b880320c7a0d38aa605
ERR9539088	SAMEA13076409	IMED.Tunisia.Kerkouene.R11753	Mobility in the Iron Age Central Mediterranean	ERX9079898	PRJEB49419	9606	Homo sapiens	2764141429	ftp.sra.ebi.ac.uk/vol1/fastq/ERR953/008/ERR9539088/ERR9539088.fastq.gz	892aa6e3844adf3013db59af41597104	ftp.sra.ebi.ac.uk/vol1/run/ERR953/ERR9539088/11753.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR953/ERR9539088/11753.bam.bai	2f5d5f3b23ef1dc0842863fd73a4077a;9f5de9a3c306dc5af0cd3acb7611bb72
ERR9539089	SAMEA13076410	IMED.Tunisia.Kerkouene.R11755	Mobility in the Iron Age Central Mediterranean	ERX9079899	PRJEB49419	9606	Homo sapiens	1931074809	ftp.sra.ebi.ac.uk/vol1/fastq/ERR953/009/ERR9539089/ERR9539089.fastq.gz	f188c156a2e63f6d2ff5b9f9986ee3a5	ftp.sra.ebi.ac.uk/vol1/run/ERR953/ERR9539089/11755.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR953/ERR9539089/11755.bam.bai	a5e5a0fc51d12ec7670c17f3a4644da6;1ef0748743df32483e28d9ba1ca37088
ERR9539090	SAMEA13076411	IMED.Tunisia.Kerkouene.R11759	Mobility in the Iron Age Central Mediterranean	ERX9079900	PRJEB49419	9606	Homo sapiens	2444554381	ftp.sra.ebi.ac.uk/vol1/fastq/ERR953/000/ERR9539090/ERR9539090.fastq.gz	97035007de4968d00986fe3e3cb01aa1	ftp.sra.ebi.ac.uk/vol1/run/ERR953/ERR9539090/11759.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR953/ERR9539090/11759.bam.bai	035460f80df759be90b55e314cf82bda;dbc261e2d3b94841062cb68b23ad6bca
ERR9539091	SAMEA13076405	IMED.Tunisia.Kerkouene.R11776	Mobility in the Iron Age Central Mediterranean	ERX9079901	PRJEB49419	9606	Homo sapiens	2232953257	ftp.sra.ebi.ac.uk/vol1/fastq/ERR953/001/ERR9539091/ERR9539091.fastq.gz	7a5f96cd5d1ad70f2b75fd07d0e455b2	ftp.sra.ebi.ac.uk/vol1/run/ERR953/ERR9539091/11776.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR953/ERR9539091/11776.bam.bai	87cb9c2b15fecc5fd4a89d1c48859447;64336eafb46e5eb7439bb175e8ba1571
ERR9539092	SAMEA13076412	IMED.Tunisia.Kerkouene.R11778	Mobility in the Iron Age Central Mediterranean	ERX9079902	PRJEB49419	9606	Homo sapiens	2152335113	ftp.sra.ebi.ac.uk/vol1/fastq/ERR953/002/ERR9539092/ERR9539092.fastq.gz	b666d155e72ad3eba0b6d46f4c61582c	ftp.sra.ebi.ac.uk/vol1/run/ERR953/ERR9539092/11778.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR953/ERR9539092/11778.bam.bai	817c2cbeeaf80ff08bfc2ef407908d6f;5081ce3491939fadd89bd7f37b1a237a
ERR9539093	SAMEA13076413	IMED.Tunisia.Kerkouene.R11780	Mobility in the Iron Age Central Mediterranean	ERX9079903	PRJEB49419	9606	Homo sapiens	3867985870	ftp.sra.ebi.ac.uk/vol1/fastq/ERR953/003/ERR9539093/ERR9539093.fastq.gz	5ba0efe204e52b09800c083f8e9e19c6	ftp.sra.ebi.ac.uk/vol1/run/ERR953/ERR9539093/11780.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR953/ERR9539093/11780.bam.bai	9ae6ac6e24d81a99cebca8053b42868c;1895db65b52c539c64a4c79be3bd7d5a
ERR9539094	SAMEA13076407	IMED.Tunisia.Kerkouene.R11790	Mobility in the Iron Age Central Mediterranean	ERX9079904	PRJEB49419	9606	Homo sapiens	2366247647	ftp.sra.ebi.ac.uk/vol1/fastq/ERR953/004/ERR9539094/ERR9539094.fastq.gz	c97a1ecadb291daa5f93a75945243a01	ftp.sra.ebi.ac.uk/vol1/run/ERR953/ERR9539094/11790.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR953/ERR9539094/11790.bam.bai	3f706ff419ec27108fa32077cbd0fb89;b652ac1a4b8c6f45254e2de733cd5a27
ERR9539095	SAMEA13076414	IMED.Tunisia.Kerkouene.R11791	Mobility in the Iron Age Central Mediterranean	ERX9079905	PRJEB49419	9606	Homo sapiens	2478533619	ftp.sra.ebi.ac.uk/vol1/fastq/ERR953/005/ERR9539095/ERR9539095.fastq.gz	b707a5f024dd4a0147134d49fdfad56e	ftp.sra.ebi.ac.uk/vol1/run/ERR953/ERR9539095/11791.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR953/ERR9539095/11791.bam.bai	66d188a8521bd0fd78470048f6af6996;ae73eea5ca59f215808f3eece8c6bbe3
ERR9539097	SAMEA13076415	IMED.Sardinia.Sant_Imbenia.R11828	Mobility in the Iron Age Central Mediterranean	ERX9079907	PRJEB49419	9606	Homo sapiens	2413135858	ftp.sra.ebi.ac.uk/vol1/fastq/ERR953/007/ERR9539097/ERR9539097.fastq.gz	faed7b11782e122687a2a444aa7f9a3d	ftp.sra.ebi.ac.uk/vol1/run/ERR953/ERR9539097/11828.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR953/ERR9539097/11828.bam.bai	ac49282ce86612d23ff5fe258847f2cc;f8b98974e5687c77202035793849b638
ERR9539098	SAMEA13076416	IMED.Sardinia.Sant_Imbenia.R11829	Mobility in the Iron Age Central Mediterranean	ERX9079908	PRJEB49419	9606	Homo sapiens	2537249775	ftp.sra.ebi.ac.uk/vol1/fastq/ERR953/008/ERR9539098/ERR9539098.fastq.gz	6bcb705487770f27bf8ad50258f9d31e	ftp.sra.ebi.ac.uk/vol1/run/ERR953/ERR9539098/11829.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR953/ERR9539098/11829.bam.bai	a5e45230f9400cd1d5f2ef717e5e5bdf;925625abaeda3606d3dda1dc7be65895
ERR9539099	SAMEA13076417	IMED.Sardinia.Sant_Imbenia.R11835	Mobility in the Iron Age Central Mediterranean	ERX9079909	PRJEB49419	9606	Homo sapiens	2711196920	ftp.sra.ebi.ac.uk/vol1/fastq/ERR953/009/ERR9539099/ERR9539099.fastq.gz	e93f195844df4b095eeeb5c321ab61f4	ftp.sra.ebi.ac.uk/vol1/run/ERR953/ERR9539099/11835.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR953/ERR9539099/11835.bam.bai	66c9625e554f0ff96be08f8bb8fb449f;6a082ba5ca3efe071f7b4ab6f0e1c3b3
