run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	base_count	fastq_ftp	fastq_md5
ERR3354482	SAMEA5662583	ERX3378989	PRJEB32764	9606	Homo sapiens	1315017319	ftp.sra.ebi.ac.uk/vol1/fastq/ERR335/002/ERR3354482/ERR3354482.fastq.gz	207ad46ecf8e4e3c3284db40698bfd23
ERR3354483	SAMEA5662561	ERX3378990	PRJEB32764	9606	Homo sapiens	526108073	ftp.sra.ebi.ac.uk/vol1/fastq/ERR335/003/ERR3354483/ERR3354483.fastq.gz	cf1c9322d20abdb64bb53d47d432592f
ERR3354484	SAMEA5662563	ERX3378991	PRJEB32764	9606	Homo sapiens	395994690	ftp.sra.ebi.ac.uk/vol1/fastq/ERR335/004/ERR3354484/ERR3354484.fastq.gz	2f0ae6b558378844a9b0d5bf8148c1ea
ERR3354485	SAMEA5662562	ERX3378992	PRJEB32764	9606	Homo sapiens	651447474	ftp.sra.ebi.ac.uk/vol1/fastq/ERR335/005/ERR3354485/ERR3354485.fastq.gz	55d7e7ecfeb7dd41b1e2de3526f08ecb
ERR3354486	SAMEA5662565	ERX3378993	PRJEB32764	9606	Homo sapiens	856561345	ftp.sra.ebi.ac.uk/vol1/fastq/ERR335/006/ERR3354486/ERR3354486.fastq.gz	67cc85274529517cfa61c41851d054dc
ERR3354487	SAMEA5662571	ERX3378994	PRJEB32764	9606	Homo sapiens	756838063	ftp.sra.ebi.ac.uk/vol1/fastq/ERR335/007/ERR3354487/ERR3354487.fastq.gz	9f8b50c5ef9c682d980252aa34af242a
ERR3354488	SAMEA5662567	ERX3378995	PRJEB32764	9606	Homo sapiens	342769336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR335/008/ERR3354488/ERR3354488.fastq.gz	4633e7e3ce065f04eec73651713ff552
ERR3354489	SAMEA5662573	ERX3378996	PRJEB32764	9606	Homo sapiens	476183442	ftp.sra.ebi.ac.uk/vol1/fastq/ERR335/009/ERR3354489/ERR3354489.fastq.gz	79690872e94e2b62c88d401d8b1b21a4
ERR3354490	SAMEA5662569	ERX3378997	PRJEB32764	9606	Homo sapiens	807072686	ftp.sra.ebi.ac.uk/vol1/fastq/ERR335/000/ERR3354490/ERR3354490.fastq.gz	c703e275bfc090bb0fc17b689287cbc5
ERR3354491	SAMEA5662578	ERX3378998	PRJEB32764	9606	Homo sapiens	599861926	ftp.sra.ebi.ac.uk/vol1/fastq/ERR335/001/ERR3354491/ERR3354491.fastq.gz	561b40ad2fb8c675d6edae773b4f1929
ERR3354492	SAMEA5662564	ERX3378999	PRJEB32764	9606	Homo sapiens	620384789	ftp.sra.ebi.ac.uk/vol1/fastq/ERR335/002/ERR3354492/ERR3354492.fastq.gz	b82dbd0ec7f4728463e675bef96ba792
ERR3354493	SAMEA5662566	ERX3379000	PRJEB32764	9606	Homo sapiens	847111812	ftp.sra.ebi.ac.uk/vol1/fastq/ERR335/003/ERR3354493/ERR3354493.fastq.gz	5ed31391df7de913ece0821153552959
ERR3354494	SAMEA5662568	ERX3379001	PRJEB32764	9606	Homo sapiens	222681490	ftp.sra.ebi.ac.uk/vol1/fastq/ERR335/004/ERR3354494/ERR3354494.fastq.gz	2c2ed9f37581f25bea5810304a80ed03
ERR3354495	SAMEA5662574	ERX3379002	PRJEB32764	9606	Homo sapiens	1430593692	ftp.sra.ebi.ac.uk/vol1/fastq/ERR335/005/ERR3354495/ERR3354495.fastq.gz	dfa01d28e8a9700b07f43a3beef9ea19
ERR3354496	SAMEA5662570	ERX3379003	PRJEB32764	9606	Homo sapiens	426819007	ftp.sra.ebi.ac.uk/vol1/fastq/ERR335/006/ERR3354496/ERR3354496.fastq.gz	130f1f5b2535691efc837b1efe1986db
ERR3354497	SAMEA5662576	ERX3379004	PRJEB32764	9606	Homo sapiens	58139265	ftp.sra.ebi.ac.uk/vol1/fastq/ERR335/007/ERR3354497/ERR3354497.fastq.gz	91617bf4ddd1c07d07efd4535f6fe05e
ERR3354498	SAMEA5662577	ERX3379005	PRJEB32764	9606	Homo sapiens	400531252	ftp.sra.ebi.ac.uk/vol1/fastq/ERR335/008/ERR3354498/ERR3354498.fastq.gz	2773a7428c9ce274fcbfa5ccb562b3a6
ERR3354499	SAMEA5662579	ERX3379006	PRJEB32764	9606	Homo sapiens	262195057	ftp.sra.ebi.ac.uk/vol1/fastq/ERR335/009/ERR3354499/ERR3354499.fastq.gz	d7aec03bbf7d90080be759d43c078d96
ERR3354500	SAMEA5662586	ERX3379007	PRJEB32764	9606	Homo sapiens	298087144	ftp.sra.ebi.ac.uk/vol1/fastq/ERR335/000/ERR3354500/ERR3354500.fastq.gz	17aa6db15121ab65d9ed54bdb70db812
ERR3354501	SAMEA5662585	ERX3379008	PRJEB32764	9606	Homo sapiens	102901766	ftp.sra.ebi.ac.uk/vol1/fastq/ERR335/001/ERR3354501/ERR3354501.fastq.gz	cbd5be58503c58540bbf84cbd2ddc4a7
ERR3354502	SAMEA5662581	ERX3379009	PRJEB32764	9606	Homo sapiens	1514125421	ftp.sra.ebi.ac.uk/vol1/fastq/ERR335/002/ERR3354502/ERR3354502.fastq.gz	ace1aa56a8c440c4f7238407ada79631
ERR3354503	SAMEA5662580	ERX3379010	PRJEB32764	9606	Homo sapiens	1501251055	ftp.sra.ebi.ac.uk/vol1/fastq/ERR335/003/ERR3354503/ERR3354503.fastq.gz	d52c83b40a5a063eb6c15827b9720160
ERR3354504	SAMEA5662584	ERX3379011	PRJEB32764	9606	Homo sapiens	1305260847	ftp.sra.ebi.ac.uk/vol1/fastq/ERR335/004/ERR3354504/ERR3354504.fastq.gz	2629a34fafd64ba3ebf89baa8773152c
ERR3354505	SAMEA5662587	ERX3379012	PRJEB32764	9606	Homo sapiens	2050728008	ftp.sra.ebi.ac.uk/vol1/fastq/ERR335/005/ERR3354505/ERR3354505.fastq.gz	6ef320b18d52f6826d70ef43a97e157b
ERR3354506	SAMEA5662575	ERX3379013	PRJEB32764	9606	Homo sapiens	495456182	ftp.sra.ebi.ac.uk/vol1/fastq/ERR335/006/ERR3354506/ERR3354506.fastq.gz	b32aafd9535a91cf37aeea4023410778
ERR3354507	SAMEA5662572	ERX3379014	PRJEB32764	9606	Homo sapiens	209431294	ftp.sra.ebi.ac.uk/vol1/fastq/ERR335/007/ERR3354507/ERR3354507.fastq.gz	5bf1492b10ace17db636c1be2fddf3da
ERR3354508	SAMEA5662589	ERX3379015	PRJEB32764	9606	Homo sapiens	243895402	ftp.sra.ebi.ac.uk/vol1/fastq/ERR335/008/ERR3354508/ERR3354508.fastq.gz	9548b7eb463de28c56ae1109b40fe3a6
ERR3354509	SAMEA5662588	ERX3379016	PRJEB32764	9606	Homo sapiens	263296901	ftp.sra.ebi.ac.uk/vol1/fastq/ERR335/009/ERR3354509/ERR3354509.fastq.gz	31e043d2c122ecfb94da747ff0d57335
ERR3354510	SAMEA5662591	ERX3379017	PRJEB32764	9606	Homo sapiens	62056315	ftp.sra.ebi.ac.uk/vol1/fastq/ERR335/000/ERR3354510/ERR3354510.fastq.gz	6768c3214f56e158751c5f99afa8f134
ERR3354511	SAMEA5662590	ERX3379018	PRJEB32764	9606	Homo sapiens	78534779	ftp.sra.ebi.ac.uk/vol1/fastq/ERR335/001/ERR3354511/ERR3354511.fastq.gz	98e498a00e73c099c7894491e4843ca2
ERR3354512	SAMEA5662582	ERX3379019	PRJEB32764	9606	Homo sapiens	861365751	ftp.sra.ebi.ac.uk/vol1/fastq/ERR335/002/ERR3354512/ERR3354512.fastq.gz	d10fa1ae16a8a59ac57dcb9e854b0661
